Year,Year_ending,Police_Region,Local_Government_Area,Incidents_Recorded,"Rate_per_1k_population"
2018,March,4 Western, Surf Coast,952,"2,951.8"
2018,March,4 Western, Swan Hill,"1,752","8,439.3"
2018,March,4 Western, Warrnambool,"2,707","7,764.7"
2018,March,4 Western, West Wimmera,114,"2,951.8"
2018,March,4 Western, Yarriambiack,358,"5,377.0"
2018,March,4 Western,Total,"61,594","6,184.5"
2018,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,476",
2018,March,Justice Institutions and Immigration Facilities,Total,"1,476",
2018,March,Unincorporated Vic, Unincorporated Vic,117,
2018,March,Unincorporated Vic,Total,117,
2017,March,1 North West Metro, Banyule,"7,447","5,767.7"
2017,March,1 North West Metro, Brimbank,"14,670","7,087.1"
2017,March,1 North West Metro, Darebin,"13,200","8,314.9"
2017,March,1 North West Metro, Hobsons Bay,"5,227","5,498.0"
2017,March,1 North West Metro, Hume,"17,033","7,913.6"
2017,March,1 North West Metro, Maribyrnong,"7,193","8,049.3"
2017,March,1 North West Metro, Melbourne,"28,114","17,666.1"
2017,March,1 North West Metro, Melton,"8,968","6,034.3"
2017,March,1 North West Metro, Moonee Valley,"7,759","6,186.9"
2017,March,1 North West Metro, Moreland,"11,798","6,666.5"
2017,March,1 North West Metro, Nillumbik,"2,171","3,359.7"
2017,March,1 North West Metro, Whittlesea,"12,870","5,967.0"
2017,March,1 North West Metro, Wyndham,"11,966","4,963.7"
2017,March,1 North West Metro, Yarra,"11,310","11,782.0"
2017,March,1 North West Metro,Total,"1,59,726","7,527.0"
2017,March,2 Eastern, Alpine,280,"2,215.5"
2017,March,2 Eastern, Bass Coast,"1,986","5,775.6"
2017,March,2 Eastern, Baw Baw,"2,894","5,710.8"
2017,March,2 Eastern, Benalla,"1,000","7,156.1"
2017,March,2 Eastern, Boroondara,"7,007","3,899.8"
2017,March,2 Eastern, East Gippsland,"2,951","6,396.3"
2017,March,2 Eastern, Greater Shepparton,"6,307","9,621.1"
2017,March,2 Eastern, Indigo,350,"2,142.9"
2017,March,2 Eastern, Knox,"9,323","5,761.1"
2017,March,2 Eastern, Latrobe,"10,348","13,814.3"
2017,March,2 Eastern, Manningham,"4,064","3,270.3"
2017,March,2 Eastern, Mansfield,470,"5,343.3"
2017,March,2 Eastern, Maroondah,"7,070","6,078.0"
2017,March,2 Eastern, Mitchell,"3,140","7,318.8"
2017,March,2 Eastern, Moira,"1,376","4,640.5"
2017,March,2 Eastern, Monash,"9,028","4,584.6"
2017,March,2 Eastern, Murrindindi,524,"3,681.3"
