"stop_id","stop_lat","stop_long","stop_name","stop_suburb","stop_type"
"T-158  ","-37.7039540800","145.1082474000","Greensborough Railway Station                                         ","Greensborough                                     ","T   "
"T-159  ","-37.7152962400","145.1215157000","Montmorency Railway Station                                           ","Montmorency                                       ","T   "
"T-16   ","-37.8736033900","145.1120902000","Jordanville Railway Station                                           ","Mount Waverley                                    ","T   "
"T-160  ","-37.7135496700","145.1478220000","Eltham Railway Station                                                ","Eltham                                            ","T   "
"T-161  ","-37.6732974400","145.1585062000","Diamond Creek Railway Station                                         ","Diamond Creek                                     ","T   "
"T-162  ","-37.6639679200","145.1816145000","Wattle Glen Railway Station                                           ","Wattle Glen                                       ","T   "
"T-163  ","-37.6393981700","145.1920169000","Hurstbridge Railway Station                                           ","Hurstbridge                                       ","T   "
"T-164  ","-37.8677529200","144.9053233000","Williamstown Railway Station                                          ","Williamstown                                      ","T   "
"T-165  ","-37.8639818900","144.8944837000","Williamstown Beach Railway Station                                    ","Williamstown                                      ","T   "
"T-166  ","-37.8573334800","144.8890695000","North Williamstown Railway Station                                    ","Williamstown                                      ","T   "
"T-167  ","-37.8427175700","144.8835999000","Newport Railway Station                                               ","Newport                                           ","T   "
"T-168  ","-37.8306388800","144.8859335000","Spotswood Railway Station                                             ","Spotswood                                         ","T   "
"T-169  ","-37.8158504400","144.8899337000","Yarraville Railway Station                                            ","Yarraville                                        ","T   "
"T-17   ","-37.8119813100","144.9556538000","Flagstaff Railway Station                                             ","Melbourne                                         ","T   "
"T-170  ","-37.8090051400","144.8956716000","Seddon Railway Station                                                ","Seddon                                            ","T   "
"T-171  ","-37.7011287200","144.7741805000","Watergardens Railway Station                                          ","Sydenham                                          ","T   "
"T-172  ","-37.7292793400","144.7937381000","Keilor Plains Railway Station                                         ","St Albans                                         ","T   "
"T-173  ","-37.7448613100","144.8000505000","St Albans Railway Station                                             ","St Albans                                         ","T   "
"T-174  ","-37.7600670700","144.8113481000","Ginifer Railway Station                                               ","St Albans                                         ","T   "
"T-175  ","-37.7776528100","144.8247036000","Albion Railway Station                                                ","Sunshine North                                    ","T   "
"T-176  ","-37.6521866600","145.0310678000","Epping Railway Station                                                ","Epping                                            ","T   "
"T-177  ","-37.6658507500","145.0171932000","Lalor Railway Station                                                 ","Lalor                                             ","T   "
"T-178  ","-37.6803380900","145.0142789000","Thomastown Railway Station                                            ","Thomastown                                        ","T   "
"T-179  ","-37.6948701200","145.0118838000","Keon Park Railway Station                                             ","Thomastown                                        ","T   "
"T-18   ","-37.8099387700","144.9625935000","Melbourne Central Railway Station                                     ","Melbourne                                         ","T   "
"T-180  ","-37.7078975400","145.0095166000","Ruthven Railway Station                                               ","Reservoir                                         ","T   "
"T-181  ","-37.7168849200","145.0069958000","Reservoir Railway Station                                             ","Reservoir                                         ","T   "
"T-182  ","-37.7284027700","145.0027726000","Regent Railway Station                                                ","Reservoir                                         ","T   "
