"stop_suburb","stop_type","count"
"Moorabbin                                         ","B   ",53
"Moorabbin                                         ","T   ",1
"Moorabbin Airport                                 ","B   ",8
"Mooroolbark                                       ","B   ",41
"Mooroolbark                                       ","T   ",1
"Mordialloc                                        ","B   ",35
"Mordialloc                                        ","T   ",1
"Mornington                                        ","B   ",119
"Mount Dandenong                                   ","B   ",38
"Mount Eliza                                       ","B   ",28
"Mount Evelyn                                      ","B   ",36
"Mount Martha                                      ","B   ",77
"Mount Waverley                                    ","B   ",109
"Mount Waverley                                    ","T   ",2
"Mulgrave                                          ","B   ",110
"Murrumbeena                                       ","B   ",48
"Murrumbeena                                       ","T   ",1
"Narbethong                                        ","B   ",2
"Narre Warren                                      ","B   ",113
"Narre Warren                                      ","T   ",1
"Narre Warren East                                 ","B   ",5
"Narre Warren North                                ","B   ",17
"Narre Warren South                                ","B   ",109
"Newport                                           ","B   ",56
"Newport                                           ","T   ",1
"Niddrie                                           ","B   ",32
"Niddrie                                           ","TR  ",4
"Noble Park                                        ","B   ",77
"Noble Park                                        ","T   ",2
"Noble Park North                                  ","B   ",48
"North Bendigo                                     ","B   ",33
"Northcote                                         ","B   ",73
"Northcote                                         ","T   ",5
"Northcote                                         ","TR  ",28
"North Melbourne                                   ","B   ",20
"North Melbourne                                   ","T   ",2
"North Melbourne                                   ","TR  ",32
"North Warrandyte                                  ","B   ",27
"Notting Hill                                      ","B   ",19
"Nunawading                                        ","B   ",66
"Nunawading                                        ","T   ",1
"Oakleigh                                          ","B   ",57
"Oakleigh                                          ","T   ",2
"Oakleigh East                                     ","B   ",24
"Oakleigh South                                    ","B   ",77
"Oak Park                                          ","B   ",19
"Oak Park                                          ","T   ",1
"Officer                                           ","B   ",16
"Officer                                           ","T   ",1
"Olinda                                            ","B   ",17
"Ormond                                            ","B   ",40
"Ormond                                            ","T   ",1
"Pakenham                                          ","B   ",140
"Pakenham                                          ","T   ",2
"Pakenham Upper                                    ","B   ",10
"Parkdale                                          ","B   ",41
"Parkdale                                          ","T   ",1
"Park Orchards                                     ","B   ",21
"Parkville                                         ","B   ",25
"Parkville                                         ","T   ",1
"Parkville                                         ","TR  ",26
"Pascoe Vale                                       ","B   ",59
"Pascoe Vale                                       ","T   ",1
"Pascoe Vale South                                 ","B   ",45
"Pascoe Vale South                                 ","TR  ",9
"Patterson Lakes                                   ","B   ",32
"Pearcedale                                        ","B   ",13
"Pheasant Creek                                    ","B   ",4
"Plenty                                            ","B   ",14
"Plumpton                                          ","B   ",2
"Point Cook                                        ","B   ",124
"Point Leo                                         ","B   ",1
"Port Melbourne                                    ","B   ",200
"Port Melbourne                                    ","TR  ",10
"Portsea                                           ","B   ",17
"Prahran                                           ","B   ",20
"Prahran                                           ","T   ",1
"Prahran                                           ","TR  ",38
"Preston                                           ","B   ",170
"Preston                                           ","T   ",2
"Preston                                           ","TR  ",42
"Quarry Hill                                       ","B   ",12
"Ravenhall                                         ","B   ",6
"Research                                          ","B   ",19
"Reservoir                                         ","B   ",310
"Reservoir                                         ","T   ",3
"Reservoir                                         ","TR  ",10
"Richmond                                          ","B   ",7
"Richmond                                          ","T   ",4
"Richmond                                          ","TR  ",59
"Ringwood                                          ","B   ",122
"Ringwood                                          ","T   ",2
"Ringwood East                                     ","B   ",33
"Ringwood East                                     ","T   ",1
"Ringwood North                                    ","B   ",61
"Ripponlea                                         ","B   ",5
"Ripponlea                                         ","T   ",1
"Rockbank                                          ","B   ",10
"Rosanna                                           ","B   ",41
"Rosanna                                           ","T   ",1
"Rosebud                                           ","B   ",30
"Rowville                                          ","B   ",137
"Roxburgh Park                                     ","B   ",62
"Roxburgh Park                                     ","T   ",1
"Rye                                               ","B   ",69
"Safety Beach                                      ","B   ",21
"Sandhurst                                         ","B   ",2
"Sandringham                                       ","B   ",43
"Sandringham                                       ","T   ",1
"Sassafras                                         ","B   ",13
"Scoresby                                          ","B   ",57
"Seabrook                                          ","B   ",7
"Seaford                                           ","B   ",86
"Seaford                                           ","T   ",2
"Seaholme                                          ","T   ",1
"Seddon                                            ","B   ",14
"Seddon                                            ","T   ",1
"Selby                                             ","B   ",8
"Seville                                           ","B   ",9
"Seville East                                      ","B   ",3
"Sherbrooke                                        ","B   ",9
"Shoreham                                          ","B   ",5
"Silvan                                            ","B   ",20
"Skye                                              ","B   ",3
"Somers                                            ","B   ",22
"Somerton                                          ","B   ",12
"Somerville                                        ","B   ",26
"Somerville                                        ","T   ",1
"Sorrento                                          ","B   ",44
"Southbank                                         ","B   ",15
"Southbank                                         ","TR  ",23
"South Kingsville                                  ","B   ",15
"South Melbourne                                   ","B   ",15
"South Melbourne                                   ","TR  ",40
"South Morang                                      ","B   ",108
"South Morang                                      ","T   ",3
"South Yarra                                       ","B   ",43
"South Yarra                                       ","T   ",2
"South Yarra                                       ","TR  ",34
"Spotswood                                         ","B   ",14
"Spotswood                                         ","T   ",1
"Spring Gully                                      ","B   ",16
"Springvale                                        ","B   ",83
"Springvale                                        ","T   ",2
"Springvale South                                  ","B   ",49
"St Albans                                         ","B   ",133
"St Albans                                         ","T   ",3
"St Andrews Beach                                  ","B   ",6
"St Helena                                         ","B   ",13
"St Kilda                                          ","B   ",35
"St Kilda                                          ","TR  ",49
"St Kilda East                                     ","B   ",28
"St Kilda East                                     ","TR  ",15
"St Kilda West                                     ","B   ",5
"St Kilda West                                     ","TR  ",5
"Strathdale                                        ","B   ",19
"Strathmore                                        ","B   ",46
"Strathmore                                        ","T   ",1
"Strathmore Heights                                ","B   ",8
"Sunbury                                           ","B   ",227
"Sunbury                                           ","T   ",1
"Sunshine                                          ","B   ",93
"Sunshine                                          ","T   ",1
"Sunshine North                                    ","B   ",41
"Sunshine North                                    ","T   ",1
"Sunshine West                                     ","B   ",78
"Surrey Hills                                      ","B   ",47
"Surrey Hills                                      ","T   ",2
"Surrey Hills                                      ","TR  ",17
"Sydenham                                          ","B   ",30
"Sydenham                                          ","T   ",1
"Taggerty                                          ","B   ",2
"Tarneit                                           ","B   ",150
"Tarrawarra                                        ","B   ",2
"Taylors Hill                                      ","B   ",31
"Taylors Lakes                                     ","B   ",66
"Tecoma                                            ","B   ",16
"Tecoma                                            ","T   ",1
"Templestowe                                       ","B   ",103
"Templestowe Lower                                 ","B   ",63
"The Basin                                         ","B   ",16
"The Patch                                         ","B   ",9
"Thomastown                                        ","B   ",113
"Thomastown                                        ","T   ",2
"Thornbury                                         ","B   ",62
"Thornbury                                         ","T   ",1
"Thornbury                                         ","TR  ",18
"Thornton                                          ","B   ",2
"Tooradin                                          ","B   ",6
"Toorak                                            ","B   ",21
"Toorak                                            ","T   ",1
"Toorak                                            ","TR  ",35
"Tootgarook                                        ","B   ",26
"Tottenham                                         ","B   ",5
"Travancore                                        ","B   ",1
"Travancore                                        ","TR  ",1
"Tremont                                           ","B   ",3
"Truganina                                         ","B   ",72
"Tullamarine                                       ","B   ",65
"Tyabb                                             ","B   ",13
"Tyabb                                             ","T   ",1
"Upper Ferntree Gully                              ","B   ",14
"Upper Ferntree Gully                              ","T   ",1
"Upwey                                             ","B   ",35
"Upwey                                             ","T   ",1
"Vermont                                           ","B   ",52
"Vermont South                                     ","B   ",46
"Vermont South                                     ","TR  ",4
"Viewbank                                          ","B   ",22
"Wandin North                                      ","B   ",14
"Wantirna                                          ","B   ",46
"Wantirna South                                    ","B   ",128
"Warburton                                         ","B   ",13
"Warneet                                           ","B   ",7
"Warrandyte                                        ","B   ",49
"Warrandyte South                                  ","B   ",3
"Warranwood                                        ","B   ",22
"Waterways                                         ","B   ",5
"Watsonia                                          ","B   ",27
"Watsonia                                          ","T   ",1
"Watsonia North                                    ","B   ",22
"Wattle Glen                                       ","B   ",3
"Wattle Glen                                       ","T   ",1
"Werribee                                          ","B   ",216
"Werribee                                          ","T   ",1
"Werribee South                                    ","B   ",14
"Wesburn                                           ","B   ",10
"West Bendigo                                      ","B   ",2
"West Footscray                                    ","B   ",56
"West Footscray                                    ","T   ",2
"Westmeadows                                       ","B   ",36
"West Melbourne                                    ","B   ",39
"West Melbourne                                    ","T   ",1
"West Melbourne                                    ","TR  ",2
"Wheelers Hill                                     ","B   ",106
"White Hills                                       ","B   ",35
"Whittlesea                                        ","B   ",23
"Williams Landing                                  ","B   ",23
"Williams Landing                                  ","T   ",1
"Williamstown                                      ","B   ",57
"Williamstown                                      ","T   ",3
"Williamstown North                                ","B   ",13
"Windsor                                           ","B   ",8
"Windsor                                           ","T   ",1
"Windsor                                           ","TR  ",11
"Wollert                                           ","B   ",37
"Wonga Park                                        ","B   ",28
"Woori Yallock                                     ","B   ",14
"Wyndham Vale                                      ","B   ",61
"Yallambie                                         ","B   ",19
"Yan Yean                                          ","B   ",10
"Yarra Glen                                        ","B   ",4
"Yarra Junction                                    ","B   ",16
"Yarrambat                                         ","B   ",18
"Yarraville                                        ","B   ",82
"Yarraville                                        ","T   ",1
